Season,Month,Month_Number,Week,Month_Week_Label,Month_Week_Sort_Order,Cumulative_Flu_Doses_Distributed,Imputed_Value,Current_Through
2019-2020,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2020-2021,August,2,1,August wk 1,21,5.7,false,09/24/2021 12:00:00 AM
2020-2021,August,2,2,August wk 2,22,13.2,false,09/24/2021 12:00:00 AM
2020-2021,August,2,3,August wk 3,23,25.2,false,09/24/2021 12:00:00 AM
2020-2021,August,2,4,August wk 4,24,45.2,false,09/24/2021 12:00:00 AM
2020-2021,September,3,1,September wk 1,31,59,false,09/24/2021 12:00:00 AM
2020-2021,September,3,2,September wk 2,32,77,false,09/24/2021 12:00:00 AM
2020-2021,September,3,3,September wk 3,33,93.4,false,09/24/2021 12:00:00 AM
2020-2021,September,3,4,September wk 4,34,121.2,false,09/24/2021 12:00:00 AM
2020-2021,October,4,1,October wk 1,41,138.2,false,09/24/2021 12:00:00 AM
2020-2021,October,4,2,October wk 2,42,152.3,false,09/24/2021 12:00:00 AM
2020-2021,October,4,3,October wk 3,43,164.1,false,09/24/2021 12:00:00 AM
2020-2021,October,4,4,October wk 4,44,174.3,false,09/24/2021 12:00:00 AM
2020-2021,November,5,1,November wk 1,51,181.7,false,09/24/2021 12:00:00 AM
2020-2021,November,5,2,November wk 2,52,184.7,false,09/24/2021 12:00:00 AM
2020-2021,November,5,3,November wk 3,53,188.4,false,09/24/2021 12:00:00 AM
2020-2021,November,5,4,November wk 4,54,190.2,false,09/24/2021 12:00:00 AM
2020-2021,December,6,1,December wk 1,61,191.4,false,09/24/2021 12:00:00 AM
2020-2021,December,6,2,December wk 2,62,192.6,false,09/24/2021 12:00:00 AM
2020-2021,December,6,3,December wk 3,63,193.8,false,09/24/2021 12:00:00 AM
2020-2021,December,6,4,December wk 4,64,194,false,09/24/2021 12:00:00 AM
2020-2021,January,7,1,January wk 1,71,194.5,false,09/24/2021 12:00:00 AM
2020-2021,January,7,2,January wk 2,72,194.7,false,09/24/2021 12:00:00 AM
2020-2021,January,7,3,January wk 3,73,194.8,false,09/24/2021 12:00:00 AM
2020-2021,January,7,4,January wk 4,74,195,false,09/24/2021 12:00:00 AM
2020-2021,February,8,1,February wk 1,81,195.1,false,09/24/2021 12:00:00 AM
2020-2021,February,8,2,February wk 2,82,195.2,false,09/24/2021 12:00:00 AM
2020-2021,February,8,3,February wk 3,83,195.2,false,09/24/2021 12:00:00 AM
2020-2021,February,8,4,February wk 4,84,195.3,false,09/24/2021 12:00:00 AM
2021-2022,August,2,1,August wk 1,21,5.4,false,02/25/2022 12:00:00 AM
2021-2022,August,2,2,August wk 2,22,11.5,false,02/25/2022 12:00:00 AM
2021-2022,August,2,3,August wk 3,23,24,false,02/25/2022 12:00:00 AM
2021-2022,August,2,4,August wk 4,24,39.9,false,02/25/2022 12:00:00 AM
2021-2022,September,3,1,September wk 1,31,53.2,false,02/25/2022 12:00:00 AM
2021-2022,September,3,2,September wk 2,32,66.8,false,02/25/2022 12:00:00 AM
2021-2022,September,3,3,September wk 3,33,84.8,false,02/25/2022 12:00:00 AM
2021-2022,September,3,4,September wk 4,34,101.1,false,02/25/2022 12:00:00 AM
2021-2022,October,4,1,October wk 1,41,114.6,false,02/25/2022 12:00:00 AM
